LocationID,Long,Lat
1,4.890712,50.864579
2,4.70831,50.868331
3,4.63441,50.973482
4,4.715258,50.867112
5,4.606562,50.739669
6,4.710938,50.870105
7,4.706939,50.879754
8,4.724236,50.95684
9,4.690971,50.884862
10,4.711246,50.880463
11,4.701951,50.876832
12,4.614737,50.982602
13,4.692294,50.882342
14,4.686726,50.882374
15,4.830371,50.983315
16,4.935339,50.976872
17,4.703465,50.866379
18,4.711374,50.86642
19,4.719437,50.892056
20,4.663041,50.872261
21,4.614717,50.982617
22,4.633927,50.787249
23,4.732001,50.87496
24,5.051909,50.984609
25,4.69476,50.882925
26,5.081402,50.754485
27,4.731901,50.85349
28,4.697693,50.881392
29,4.688965,50.854833
30,4.818742,50.992188
31,4.98546,51.001757
32,4.515208,50.982559
33,5.056166,50.794729
34,4.925884,50.896705
35,4.788365,50.868543
36,4.572762,50.980791
37,4.884176,50.872019
38,4.670234,50.906472
39,4.709585,50.875093
40,4.882204,50.82553
41,4.721831,50.872085
42,4.839722,50.987988
43,4.551738,50.815821
44,4.705904,50.89152
45,4.632892,50.900051
46,4.718869,50.88839
47,4.698186,50.863943
48,4.699825,50.88047
49,4.725813,50.886051
50,4.569331,50.877159
51,4.888563,50.773589
52,4.839087,50.844802
53,5.063211,50.750372
54,4.736269,50.939716
55,4.513391,50.822395
56,4.637713,50.976934
57,4.831658,50.936632
58,4.941603,50.805658
59,4.591051,50.888118
60,4.705246,50.990483
61,4.710962,50.861993
62,4.79154,50.83982
63,4.522807,50.882848
64,4.710825,50.87427
65,4.895516,50.776421
66,4.702742,50.878509
67,4.706456,50.883145
68,4.888734,50.975593
69,5.054572,50.984685
70,4.953885,50.800899
71,4.706751,50.867145
72,5.132287,50.834878
73,5.029036,50.9997
74,4.641071,50.895798
75,5.16282,50.886141
76,4.703003,50.88279
77,4.827422,50.945397
78,4.651103,50.804402
79,5.051446,50.984614
80,5.04977,50.982157
81,4.646224,50.945754
82,5.014319,50.894011
83,4.830824,50.94804
84,4.781227,51.019187
85,4.841647,50.844839
86,4.702392,50.861039
87,4.712595,50.858735
88,4.718918,50.885885
89,4.925078,50.768881
90,4.792313,50.95024
91,4.692424,50.915209
92,5.097525,51.021155
93,4.970726,50.941712
94,4.836788,50.984664
95,4.732413,50.884306
96,4.708546,50.861415
97,4.696846,50.861543
98,4.894226,50.973932
99,5.004546,50.876399
100,5.062906,50.989184
101,4.941077,50.80537
102,4.883853,50.921702
103,4.69224,50.881948
104,4.70305,50.878139
105,4.684063,50.882282
106,5.082058,50.962538
107,4.701919,50.877837
108,4.66521,50.911922
109,4.705446,50.877083
110,4.680359,50.928288
111,4.700766,50.88016
112,4.703339,50.873462
113,4.701712,50.866879
114,4.553771,50.878366
115,4.513391,50.822395
116,5.08056,50.999061
117,4.639578,50.975182
118,4.696691,50.886891
119,4.709879,50.881527
120,4.624806,50.934946
121,4.70427,50.879101
122,4.667924,50.921241
123,4.580686,50.964549
124,4.70145,50.878918
125,4.709285,50.861608
126,4.97636,50.943522
127,4.707354,50.880575
128,5.107072,50.832531
129,4.692257,50.868659
130,4.702571,50.882597
131,4.653338,50.825352
132,5.020034,50.853778
133,4.683199,50.876715
134,4.970219,50.79982
135,4.922908,50.811122
136,4.524229,50.883059
137,4.707487,50.904815
138,4.972588,50.979973
139,4.783321,51.018322
140,4.522717,50.831224
141,4.696411,50.865635
142,4.76229,50.920594
143,4.804868,50.938608
144,4.801914,50.869598
145,4.708523,50.867859
146,4.696455,50.871729
147,4.638804,50.842358
148,4.696378,50.87626
149,4.99669,50.848373
150,4.70313,50.867597
151,5.046746,50.843588
152,4.78654,50.915158
153,4.702249,50.861674
154,5.055453,50.980024
155,4.770543,51.032254
156,4.918262,50.890674
157,4.69794,50.878003
158,4.840221,50.990291
159,4.696673,50.862044
160,4.706824,50.868121
161,4.710324,50.862558
162,4.753993,50.827002
163,4.783321,51.018322
164,4.713752,50.881308
165,4.905438,50.989588
166,4.741957,50.875862
167,4.794792,50.809225
168,4.738676,50.878734
169,4.687006,50.879809
170,4.606169,50.962258
171,4.704292,50.866633
172,5.050594,50.984718
173,4.704871,50.8596
174,4.704788,50.858406
175,4.613973,50.741478
176,4.919229,50.803945
177,4.710436,50.861112
178,4.63454,50.866441
179,4.711446,50.910608
180,4.640634,50.897565
181,4.653808,51.016168
182,4.710036,50.862262
183,4.710491,50.881515
184,4.514455,50.828137
185,4.721128,50.831703
186,4.554489,50.880254
187,5.031022,50.855454
188,4.709962,50.87876
189,4.703471,50.880159
190,4.956722,50.772671
191,4.71198,50.865191
192,4.71088,50.880664
193,4.698542,50.868164
194,5.120146,50.809704
195,4.701847,50.878459
196,4.6956,50.861988
197,4.765799,51.019217
198,5.070889,50.972342
199,4.74714,50.864812
200,4.717361,50.8818
201,4.960258,50.799925
202,4.733384,50.874849
203,4.728416,50.877422
204,4.727598,50.882019
205,4.706304,50.879250999999996
206,4.923142,50.805421
207,4.918241,51.01279
208,4.516556,50.986678
209,4.703096,50.878072
210,4.693099,50.880738
211,5.070667,50.962795
212,4.838315,50.788271
213,4.740321,50.886072
214,4.782125,50.985443
215,5.06295,50.750744
216,4.77232,50.905237
217,4.938169,50.80598
218,4.586989,50.880632
219,4.896222,50.773618
220,4.91053,50.83608
221,4.98565,51.012727
222,4.984549,50.851409
223,4.688874,50.883813
224,4.715711,50.881968
225,4.565176,50.816623
226,5.052231,50.983133
227,4.704257,50.991307
228,4.751345,50.918287
229,4.683885,50.878883
230,4.69801,50.883175
231,5.041574,50.851049
232,4.625908,50.817626
233,4.710737,50.86404
234,4.700368,50.881069
235,4.445104,50.827538
236,4.750035,50.866474
237,4.690282,50.880942
238,4.819852,50.99321
239,5.064545,50.982231
240,4.707266,50.869395
241,4.605937,50.807676
242,4.752718,50.996021
243,4.707563,50.868486
244,4.912155,51.027729
245,4.700389,50.881884
246,4.887311,50.773928
247,4.94331,50.996667
248,4.787549,50.808126
249,4.689523,50.876538
250,4.570446,50.878885
251,4.698912,50.863927
252,4.725864,50.876548
253,4.986298,50.97852
254,5.056324,50.979522
255,4.55169,50.803942
256,4.703833,50.818461
257,4.705701,50.87996
258,4.707979,50.880396
259,4.753119,50.877336
260,4.815127,50.985686
261,4.857059,50.88893
262,4.711333,50.883907
263,4.707314,50.882461
264,4.705193,50.861351
265,4.693227,50.860439
266,4.686526,50.862756
267,4.829318,50.897429
268,4.940906,50.805528
269,4.808544,50.974809
270,4.569766,50.904832
271,4.71046,50.865147
272,4.691026,50.881333
273,4.706618,50.879031
274,4.712039,50.877539
275,4.794722,50.865894
276,4.708602,50.864369
277,4.856422,50.942241
278,5.051914,50.986118
279,4.548721,50.878478
280,4.8093070000000004,50.981357
281,4.709445,50.861574
282,4.727748,50.883342
283,4.711124,50.86812
284,4.71261,50.85926
285,4.514221,50.82563
286,4.805397,50.926991
287,4.633956,50.86676
288,4.985378,50.999935
289,4.66648,50.804402
290,4.710216,50.875105
291,5.111314,50.846656
292,4.703814,50.975292
293,4.704365,50.880217
294,4.695972,50.880442
295,5.05949,50.75327
296,4.703843,50.8573
297,4.708867,50.861227
